station_name,show_type,show_kind_name,show_description,show_id,show_title,show_date,show_since,show_till,relation_type,show_duration_minutes,moderators
Radiožurnál,EVENING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615661,Zprávy,2023-04-01,20:30:00,20:32:19,premiéra,3,
Radiožurnál,EVENING,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Michaela van Erne.,18615664,Víkendový Radiožurnál,2023-04-01,20:33:53,21:00:00,premiéra,27,Michaela van Erne
Radiožurnál,EVENING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615665,Zprávy,2023-04-01,21:00:00,21:04:21,premiéra,5,
Radiožurnál,EVENING,Publicistika,,18615668,Příběhy 20. století - 1. část,2023-04-01,21:05:46,21:29:39,repríza,24,
Radiožurnál,EVENING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615669,Zprávy,2023-04-01,21:30:00,21:31:38,premiéra,2,
Radiožurnál,EVENING,Publicistika,,18647392,Příběhy 20. století - 2. část,2023-04-01,21:32:55,21:58:52,repríza,26,
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615673,Zprávy,2023-04-01,22:00:00,22:04:04,premiéra,5,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Michaela van Erne.,18615676,Víkendový Radiožurnál,2023-04-01,22:05:35,23:00:00,premiéra,55,Michaela van Erne
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615677,Zprávy,2023-04-01,22:30:00,22:31:46,premiéra,2,
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615680,Zprávy,2023-04-01,23:00:00,23:03:59,premiéra,4,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby",Hostem je hudebník Michal Dvořák. Moderuje Vladimír Kroc. (repríza),18615683,Večerní Host Radiožurnálu,2023-04-01,23:05:36,00:00:00,premiéra,-1385,Vladimír Kroc
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615684,Zprávy,2023-04-01,23:30:00,23:32:01,premiéra,3,
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615687,Zprávy,2023-04-02,00:00:00,00:08:59,premiéra,9,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Jiří Štefl.,18615690,Noční Radiožurnál,2023-04-02,00:10:11,01:00:00,premiéra,50,Jiří Štefl
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615691,Zprávy,2023-04-02,00:30:00,00:31:45,premiéra,2,
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615694,Zprávy,2023-04-02,01:00:00,01:04:26,premiéra,5,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Jiří Štefl.,18615697,Noční Radiožurnál,2023-04-02,01:05:51,02:00:00,premiéra,55,Jiří Štefl
Radiožurnál,NIGHT,Publicistika,Rozhovor s Věrou Kunderovou. (repríza),18648121,Vznik nové knihovny Milana Kundery v Brně,2023-04-02,01:06:41,01:29:40,repríza,23,
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615698,Zprávy,2023-04-02,01:30:00,01:32:00,premiéra,2,
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615701,Zprávy,2023-04-02,02:00:00,02:04:11,premiéra,5,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Jiří Štefl.,18615704,Noční Radiožurnál,2023-04-02,02:05:38,03:00:00,premiéra,55,Jiří Štefl
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615705,Zprávy,2023-04-02,02:30:00,02:31:56,premiéra,2,
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615708,Zprávy,2023-04-02,03:00:00,03:04:03,premiéra,5,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Jiří Štefl.,18615711,Noční Radiožurnál,2023-04-02,03:05:34,04:00:00,premiéra,55,Jiří Štefl
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615712,Zprávy,2023-04-02,03:30:00,03:31:53,premiéra,2,
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615715,Zprávy,2023-04-02,04:00:00,04:04:24,premiéra,5,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Jiří Štefl.,18615718,Noční Radiožurnál,2023-04-02,04:05:42,05:00:00,premiéra,55,Jiří Štefl
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615719,Zprávy,2023-04-02,04:30:00,04:31:50,premiéra,2,
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615722,Zprávy,2023-04-02,05:00:00,05:04:13,premiéra,5,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby","Aktuální reportáže a nejrychlejší zpravodajství, informace z denního tisku. Moderuje Štěpán Pokorný.",18615725,Víkendový Ranní Radiožurnál,2023-04-02,05:05:37,06:00:00,premiéra,55,Štěpán Pokorný
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615726,Zprávy,2023-04-02,05:30:00,05:31:56,premiéra,2,
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615729,Zprávy,2023-04-02,06:00:00,06:04:43,premiéra,5,
Radiožurnál,MORNING,"Magazín zprav., publicistiky a hudby","Aktuální reportáže a nejrychlejší zpravodajství, informace z denního tisku. Moderuje Štěpán Pokorný.",18615732,Víkendový Ranní Radiožurnál,2023-04-02,06:06:10,07:00:00,premiéra,54,Štěpán Pokorný
Radiožurnál,MORNING,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615733,Zprávy,2023-04-02,06:15:00,06:16:01,premiéra,2,
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615735,Zprávy,2023-04-02,06:30:00,06:32:01,premiéra,3,
Radiožurnál,MORNING,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615738,Zprávy,2023-04-02,06:45:00,06:45:39,premiéra,1,
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615740,Zprávy,2023-04-02,07:00:00,07:04:47,premiéra,5,
Radiožurnál,MORNING,"Magazín zprav., publicistiky a hudby","Aktuální reportáže a nejrychlejší zpravodajství, informace z denního tisku. Moderuje Štěpán Pokorný.",18615743,Víkendový Ranní Radiožurnál,2023-04-02,07:06:04,08:00:00,premiéra,54,Štěpán Pokorný
Radiožurnál,MORNING,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615744,Zprávy,2023-04-02,07:15:00,07:15:49,premiéra,1,
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615746,Zprávy,2023-04-02,07:30:00,07:31:43,premiéra,2,
Radiožurnál,MORNING,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615749,Zprávy,2023-04-02,07:45:00,07:45:39,premiéra,1,
Radiožurnál,MORNING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615751,Zprávy,2023-04-02,08:00:00,08:04:59,premiéra,5,
Radiožurnál,MORNING,"Magazín zprav., publicistiky a hudby","Aktuální reportáže a nejrychlejší zpravodajství, informace z denního tisku. Moderuje Štěpán Pokorný.",18615754,Víkendový Ranní Radiožurnál,2023-04-02,08:06:12,09:00:00,premiéra,54,Štěpán Pokorný
